,0
53,McConnell warns of government attacks on free speech
54,NULL
55,Obama sorry over Kamala Harris 'good-looking' comment - BBC News
56,Sarah Palin lampoons D.C. at Faith and Freedom Coalition conference - The Washington Post
57,Obama commutes eight drug prison terms - BBC News
58,NULL
59,Illinois Senate approves medical marijuana bill - Chicago Tribune
60,US ex-drug enforcement chiefs urge marijuana crackdown - BBC News
61,NULL
62,Dana Milbank: Rep. Steve King’s rotten tomatoes - The Washington Post
63,NULL
64,Obama Commutes Sentences for 8 in Crack Cocaine Cases - The New York Times
65,NULL
66,Opinion | Sentencing Reform Starts to Pay Off - The New York Times
67,Obama Commutes Sentences for 8 in Crack Cocaine Cases - The New York Times
68,NULL
69,NULL
70,NULL
71,Uruguay bill pioneers state control of cannabis market - BBC News
72,Schumer Exploits Boston Bombing to Promote Immigration Bill Security Features
73,States move ahead with food stamp cuts
74,Stores have free rein to recoup shoplifting losses
75,Opinion | A Nation Divided Against Itself - The New York Times
76,World News | NBC News
77,NULL
78,NULL
79,NULL
80,NULL
81,D.C. Council approves ‘living wage’ bill over Wal-Mart ultimatum - The Washington Post
82,Clean up the IRS: Column
83,NULL
84,NULL
85,Exception
86,2.2 million jobless Americans face aid cutoff
87,NULL
88,Spending cuts: When they'll really bite 
89,NULL
90,Bill Maher Tired Of Helping Companies Pay Workers Hike Minimum Wage (VIDEO)
91,NULL
92,"Pay raise on way out, furloughs on way in - The Washington Post"
93,Lawmaker to IRS chief: 'This report is a sham'| Latest News Videos | Fox News
94,Inside Obama's mind at his State of the Union address | Fox News
95,About Jan Brewer...
96,NYC Council Race: Yetta Kurland vs. Derivatives Man
97,ObamaCare: Your Tax Dollars Now Fund Abortion
98,NULL
99,"Everyone Knows Obama's 2013 Was Bad, The Tough Question Is Why | HuffPost Latest News"
100,NULL
101,Obama to Congress: Extend unemployment insurance
102,Land of the free? Senator says immigration stats show welfare rules not enforced | Fox News
103,NULL
104,NULL
105,NULL
106,Brazile: Bush came through on Katrina - CNN
107,"Report: NSA among worst offenders of mass surveillance, Snowden says  - CNN"
108,NULL
109,Audit: USDA paid millions in federal aid to dead farmers
110,Why the Anger? | HuffPost Latest News
111,All that is wrong with the economy in one graph
112,Supreme Court sides with Monsanto in major patent case
113,The five worst things about this crummy jobs report - The Washington Post
114,Bill Maher Tired Of Helping Companies Pay Workers Hike Minimum Wage (VIDEO)
115,"Opinion | Hunger Games, U.S.A. - The New York Times"
116,NULL
117,New laws make criminal pasts off-limits in California city | Fox News
118,NULL
119,Sandy relief vote shows vast majority of GOP Congress members hate America
120,"Emanuel speed cameras generate more than 2,700 tickets so far - Chicago Tribune"
121,NULL
122,'You don’t dream when you’ve got food stamps.' Really?
123,Inside the immigration bill: E-Verify expansion draws fire - The Washington Post
124,Vote Ushers In New Era in Oversight of Lending Practices - The New York Times
125,"As shutdown and default loom, crisis mode becomes Washington’s new normal - The Washington Post"
126,Disabled workers paid just pennies an hour – and it's legal
127,"With deadline looming, White House details cuts – CNN Political Ticker - CNN.com Blogs"
128,NULL
129,"Labor, big business agree on key part of immigration reform, but final deal still faces hurdles | Fox News"
130,"Politics: Congress, Political Parties, National Security & More | NBC News"
131,"Ohio Sex Education Bill Threatens Teachers With $5,000 Fine | HuffPost Latest News"
132,‘The Civil War in America’ at Library of Congress - The New York Times
133,NULL
134,NULL
135,NULL
136,"Arizona's Law Banning Mexican-American Studies Curriculum Is Constitutional, Judge Rules | HuffPost Communities"
137,NULL
138,NULL
139,DOJ Defunds Youth Programs that Reference God
140,"Arizona's Law Banning Mexican-American Studies Curriculum Is Constitutional, Judge Rules | HuffPost Communities"
141,California teacher who appeared in porn loses appeal to get job back | Fox News
142,Obama Tells Morehouse Graduates of 'Special Obligation' of Black Men
143,NULL
144,"Soros Adviser, Obama Donors, Amnesty Activists Form Group to Target House GOP Members"
145,NULL
146,"In Quinn’s Loss, Questions About Role of Gender and Sexuality - The New York Times"
147,NULL
148,NULL
149,Halle Berry backed anti-paparazzi bill becomes law - BBC News
150,an Obama voter as 3/5 of a person
151,Latino | Fox News
152,Racists Go Wild Outside Obama Speech in Arizona 
153,The Persistence of Racial Resentment - The New York Times
154,"After the first black president, who will be second? - The Washington Post"
155,"HuffPost - Breaking News, U.S. and World News | HuffPost"
156,an Obama voter as 3/5 of a person
157,Opinion | Voter ID Gets Another Day in Court - The New York Times
158,NULL
159,"Texas Defends Voting Laws: ""We Don't Want Democrats To Vote"""
160,Beware Texas Democrats. Wisconsin was there once too.
161,Women Finding Their Way in German Politics - The New York Times
162,NULL
163,NULL
164,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
165,Is Ted Cruz a natural-born citizen eligible to serve as president?
166,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
167,Abbreviated pundit roundup: SCOTUS ruling on voting rights
168,Final Tally of Illegal Voters in Boulder County
169,Christie - the Republicans' best shot at the White House - BBC News
170,NULL
171,NULL
172,NULL
173,Scalia’s understanding of the Voting Rights Act is shortsighted - The Washington Post
174,"Congress now has more women, minorities than ever - The Washington Post"
175,Opinion | The Dishonesty of Voter ID Laws - The New York Times
176,TX State Sen. Wendy Davis Wins Lawsuit Against Racist GOP Redistricting Plan 
177,90 Year Old Legendary Speaker of the House Jim Wright Denied Texas Voter ID Card 
178,Largely White Audience Turns Out To Hear Rand Paul Speak At African-American Outreach Event | HuffPost Latest News
179,NULL
180,CPAC Video: Black guy escorted out by police after White guy screams at him that Race Doesn't Matter
181,NULL
182,NULL
183,Campaigns begin push ahead of Tenn. abortion vote
184,NULL
185,Why Obama is racing against the clock on immigration - The Washington Post
186,Reid: Cordray nomination will get vote next week
187,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
188,National Republicans scrambling to keep Texas Red
189,Exception
190,TX State Sen. Wendy Davis Wins Lawsuit Against Racist GOP Redistricting Plan 
191,Exception
192,"Los Angeles elects first Jewish mayor, Eric Garcetti - BBC News"
193,"HuffPost - Breaking News, U.S. and World News | HuffPost"
194,NULL
195,New York mayor-elect Bill de Blasio's family gives him lift - CNNPolitics
196,Voter Waiting Time Disparities Draw Democrats’ Scrutiny - The New York Times
197,Tea Party Favorites Sue Federal Government Over Voter Proof-Of-Citizenship Law | HuffPost Latest News
198,Scott Brown filling in for Bill O’Reilly - The Washington Post
199,Tea Party Confederate Secessionists are Finally Crawling out of Closet
200,Conservative media watchdog asks: 'Black Socialist Pope to Follow Black Socialist President?'
201,NULL
202,"In North Carolina, unimpeded GOP drives state hard to the right - The Washington Post"
203,New York mayor-elect Bill de Blasio's family gives him lift - CNNPolitics
204,Opinion | Carving Up the Country - The New York Times
205,NULL
206,"Abbreviated Pundit Round-up: Argument about NSA spying, climate change and more"
207,NULL
208,City’s Largest Union Endorsing de Blasio for Mayor - The New York Times
209,BREAKING: WH arrests to come:  Civil Disobedience Action on Keystone XL today
210,US announces six drone test sites - BBC News
211,"Conor Kennedy Arrested: RFK Jr. Detained With Son, Daryl Hannah And Other Climate Activists | HuffPost Impact"
212,U.S. judge orders landmark California cross taken down
213,BREAKING: WH arrests to come:  Civil Disobedience Action on Keystone XL today
214,Judge dismisses suit against Naperville smart meter program - Chicago Tribune
215,U.S. aid on the way to devastated areas of Philippines
216,CNN Poll: Do Americans agree with Obama on climate change and immigration? – CNN Political Ticker - CNN.com Blogs
217,NULL
218,Romney transition team report turns out to be creepy and depressing
219,NULL
220,"""It's just disgusting"": San Antonio councilwoman's appalling anti-gay rant caught on tape"
221,Challenge filed to stop resumption of same-sex marriages in California - CNN
222,"Dick, Lynne Cheney weigh in on marriage equality family feud"
223,NULL
224,Churches changing bylaws after gay marriage ruling | Fox News
225,"S.E. Cupp On CPAC, Gay Rights: 'I Can't Keep Doing That,' CPAC 'Dismissive And Disrespectful' To Gay Groups (VIDEO) | HuffPost Latest News"
226,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
227,NULL
228,NULL
229,NULL
230,Scalia finds his predictions on same-sex-marriage ruling being borne out - The Washington Post
231,Hawaii Gay Marriage Bill Approved By State's House Of Representatives | HuffPost Latest News
232,NULL
233,NULL
234,Exception
235,NULL
236,NULL
237,The bigots not happy about being called bigots
238,NULL
239,"""It's just disgusting"": San Antonio councilwoman's appalling anti-gay rant caught on tape"
240,Gay marriage bill: Lords debate 'wrecking amendment' - BBC News
241,NULL
242,"Politics: Congress, Political Parties, National Security & More | NBC News"
243,"Politics: Congress, Political Parties, National Security & More | NBC News"
244,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
245,Federal judge rules that Utah gay marriages may continue
246,Ford compares gay marriage debate to civil rights campaign - BBC News
247,Opinion | Courting Cowardice on Same-Sex Marriage - The New York Times
248,"Opinion: Two different marriage bans, both wrong - CNN"
249,Hillary Clinton Endorses Same-Sex Marriage - The New York Times
250,"Gay marriage legal in New Mexico, sort of - The Washington Post"
251,NULL
252,Pride Parade felt like history in the making - Chicago Tribune
253,Gay marriages to be recognized across US by IRS
254,How the Court’s Ruling Will Affect Same-Sex Spouses - The New York Times
255,NULL
256,NULL
257,Texas Republicans will always be the last horse out of the barn
258,NULL
259,NULL
260,Gay marriages: Government publishes legislation - BBC News
261,"Soft, fuzzy, and all about 'traditional marriage'? No, DOMA was the demon seed of a hate group."
262,Conservatives Pledge To Defy Any Marriage Equality Ruling The Supreme Court Reaches | HuffPost Communities
263,Conservative justices stress federal overreach in gay marriage case
264,Catholics Protest In Detroit Over Archbishop Vigneron's Statements On Gay Marriage And Communion | HuffPost null
265,I am sick and tired of dumb people arguing against marriage equality
266,NULL
267,McCaskill rolls out support for same-sex marriage – CNN Political Ticker - CNN.com Blogs
268,NULL
269,Obama picks yet another homophobe for benediction
270,NULL
271,NULL
272,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
273,NULL
274,Pelosi: Same Sex Marriage 'Honors Constitution'
275,Who will be the next Republican senator to embrace gay marriage? - The Washington Post
276,NULL
277,Federal judge rules that Utah gay marriages may continue
278,"HuffPost - Breaking News, U.S. and World News | HuffPost"
279,Opinion | Marriage Looks Different Now - The New York Times
280,Who will be the next Republican senator to embrace gay marriage? - The Washington Post
281,"No Cardinal Dolan, the Catholic Church Wasn't 'Outmarketed' on Gay Marriage | HuffPost Communities"
282,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
283,Paula Deen invokes same-sex marriage ruling in lawsuit defense - CNN
284,NULL
285,Jack Baker and Michael McConnell: Gay Americans who married in 1971 - BBC News
286,Boy Scouts president: Let in gay boys
287,NULL
288,NULL
289,US Senate backs 'Enda' gay rights bill - BBC News
290,Harold Meyerson: Obama forges a new majority - The Washington Post
291,NULL
292,NULL
293,NULL
294,"HuffPost - Breaking News, U.S. and World News | HuffPost"
295,NULL
296,Absolutely! Utah has Upset the Supreme Court's Applecart
297,Republican senator announces support for gay marriage
298,Opinion: Haunting lesson of Nazi Olympics - CNN
299,Opinion | The California Marriage Case - The New York Times
300,Obama administration weighs in on defense of marriage law - CNNPolitics
301,Obama picks yet another homophobe for benediction
302,Lawmakers approve gay marriage in Illinois - Chicago Tribune
303,Gay marriage ruling already in use in other cases
304,"Janet Mefferd, Conservative Host, Says Anti-Gay Activists Will Be Treated Like 'Jews in Nazi Germany' | HuffPost Communities"
305,Duck Dynasty: Major Media Trash Christianity as 'Anti-Gay'
306," Hillary Clinton, Portman and gay marriage: What took her so long? | L.A. NOW | Los Angeles Times"
307,Jamaica Anti-Homophobia Stand Protests Outside Of UN General Assembly In NYC | HuffPost Communities
308,Prominent Republicans Sign Brief in Support of Gay Marriage - The New York Times
309,NULL
310,Churches changing bylaws after gay marriage ruling | Fox News
311,Supreme Court seems to be inching toward marriage equality - The Washington Post
312,NULL
313,Same-sex Couples Shatter Marriage Records In Utah | HuffPost Communities
314,NULL
315,Rush Limbaugh concedes conservatives ‘lost’ marriage debate – CNN Political Ticker - CNN.com Blogs
316,NULL
317,NULL
318,Anti-gay legislator blames 'betrayal' on gay marriage for his drunken boating crash
319,Pelosi: Same Sex Marriage 'Honors Constitution'
320,Why The Red Equal Sign Matters
321,NULL
322,NULL
323,Sandy Rios At Values Voter Summit: Matthew Shepard's Murder Was 'A Total Fraud' | HuffPost Latest News
324,NULL
325,NULL
326,Murkowski becomes 3rd GOP senator for gay marriage
327,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
328,NULL
329,More wines coming out in support of gay marriage
330,San Francisco’s Role in Opposing Gay Marriage Ban Led Way to Supreme Court - The New York Times
331,Judge orders baker to serve gay couples despite his religious beliefs | Fox News
332,"HuffPost - Breaking News, U.S. and World News | HuffPost"
333,Watch: Zach Wahls smacks down anti-gay bigot on CNN over Scouting gay ban
334,Opinion | Why I Am Signing Marriage Equality Into Law in Rhode Island - The New York Times
335,San Francisco’s Role in Opposing Gay Marriage Ban Led Way to Supreme Court - The New York Times
336,"HuffPost - Breaking News, U.S. and World News | HuffPost"
337,Pastor: Jesus Was Wrong About Marriage
338,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
339,NULL
340,NULL
341,A Supreme Court Victory Won’t Flatten Same-Sex Hurdles - The New York Times
342,NULL
343,Gay marriage advances come at a cost: Column
344,NULL
345,NULL
346,U.S. court: Utah gay marriages can continue
347,Miss. couples in crossfire of ruling on gay marriage
348,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
349,Abbreviated pundit roundup: Marriage equality and the Supreme Court
350,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
351,N.J. Gov. Christie walks a fine line on gay marriage
352,NULL
353,Judge Cites Same-Sex Marriage in Declaring Polygamy Ban Unconstitutional
354,NULL
355,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
356,NULL
357,NULL
358,Utah asks Supreme Court to block same-sex unions
359,Exception
360,NULL
361,Signed and sealed: Illinois 16th state to legalize gay marriage - Chicago Tribune
362,Same-sex marriage bill comes into force in Uruguay - BBC News
363,Opinion | The California Marriage Case - The New York Times
364,Rick Santorum’s Dire Warning on Gay Marriage
365,NULL
366,White House takes stance against state gay-marriage ban
367,NULL
368,NULL
369,NULL
370,NULL
371,NULL
372,Seeing red? Same-sex marriage debate goes viral  – CNN Political Ticker - CNN.com Blogs
373,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
374,'Justice for Trayvon' DC: Boycott Disneyland
375,Good news from the Trayvon Martin tragedy
376,NULL
377,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
378,Exclusive--Zimmerman Brother: Obama 'Bullied' My Family
379,NULL
380,'Justice for Trayvon' DC: Boycott Disneyland
381,Fox News bravely exposes President Obama's blatant support for murdering white people
382,How the Trayvon Martin case reveals our two political Americas - The Washington Post
383,"Despite outrage, federal charges uncertain in Zimmerman case - CNNPolitics"
384,CNN on Obama's Trayvon Statement: 'Wow! Stunning! Important!'
385,Tavis Smiley On Obama's Trayvon Martin Speech: 'He Was Pushed To That Podium' (VIDEO) | HuffPost Latest News
386,Sgt Robert Bales apologises for Afghan massacre - BBC News
387,Barack Obama and Ray Kelly Have the Exact Opposite Views on Racial Profiling
388,Daily Beast: 'There's No Such Thing as Black-on-Black Crime'
389,NULL
390,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
391,"Mothers of both Martin, Zimmerman testify they heard their own son calling for help on 911 tape | Fox News"
392,NULL
393,Joe Scarborough To Conservative Media: Don't 'Antagonize' Black Voters (VIDEO) | HuffPost Latest News
394,Hillary Clinton addresses Martin shooting death – CNN Political Ticker - CNN.com Blogs
395,NULL
396,Bill Cosby blames 'that gun' in Trayvon Martin's death | Ministry of Gossip | Los Angeles Times
397,Zimmerman Defense comments on President Obama's remarks | Fox News
398,NULL
399,NULL
400,NULL
401,Opinion: Politics shouldn't force federal case vs. Zimmerman - CNN
402,NULL
403,NULL
404,Judge rules witnesses in George Zimmerman trial must testify publicly | Fox News
405,Biden: Gun Control 'Will Pass Before the Year is Out'
406,"Joe Scarborough, Piers Morgan: Obama Scandals Prove Gun Advocates Aren't Crazy"
407,Gun bill backers try to quell ‘registry’ concerns as Senate debate begins | Fox News
408,Marco Rubio: Obama Lacks 'Political Courage' To Admit True Feelings On Second Amendment (VIDEO) | HuffPost Latest News
409,Buffalo Wild Wings waitress in Manassas invokes ‘no guns’ policy on Prince William police officers - The Washington Post
410,NRA criticizes Obama's reference to 'absolutism'
411,Homeland Security Drones Designed to Identify Civilians Carrying Guns
412,Pro-Abortion Protester Reads Poem Into TX Record: 'If My Vagina Was a Gun'
413,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
414,NRA Video Criticizes Obama For Stance On Armed Guards In Schools | HuffPost Latest News
415,"PostScript: Childresses, white men and vileness - The Washington Post"
416,NULL
417,NULL
418,Miss. couples in crossfire of ruling on gay marriage
419,Court to consider whether speedy approval of NY gun controls violated constitution | Fox News
420,Sen. Schumer Quietly Adds Extreme Measures to Gun Sellers Bill
421,Trayvongate: Newest Obama Scandal Is 17 Months Old
422,Sheriffs Sue over Colorado Gun Control: 'This Is Our Alamo'
423,NULL
424,"Obama 'determined' for action on gun crime, Biden says - BBC News"
425,Small Town To Vote On Recalling Council Members Over Gun Permit Changes | HuffPost Latest News
426,NULL
427,"Abbreviated Pundit Round-up: Gun laws, Korea and the return of bird flu "
428,NULL
429,Opinion: Time to repeal second amendment? - CNN.com
430,Abbreviated Pundit Round-up
431,NRA goes on offensive over high-capacity magazine ban
432,Miss. Supreme Court upholds state's open carry gun law
433,NULL
434,How much crow can a president eat? Obama’s finding out
435,Poll: Mich. residents support gun-control proposals
436,Small Colorado town considers drone hunting licenses - CNN
437,CO Recall: Republicans Are Dominating In Sen. John Morse Early Voting
438,Feinstein: NRA is ‘venal’ – CNN Political Ticker - CNN.com Blogs
439,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
440,NULL
441,Witnesses tangle over background checks at gun control hearing | Fox News
442,White House: NRA attack ad 'cowardly'
443,NULL
444,Opinion: GOP's cowardly gun filibuster threat - CNN
445,Catholic groups ask Supreme Court to delay Obamacare mandate – CNN Political Ticker - CNN.com Blogs
446,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
447,"Michigan about to require women to buy ""rape insurance"" based on petition signed by 4.2% of voters"
448,‘Creepy’ Uncle Sam asks young adults to opt out of Obamacare - The Washington Post
449,NULL
450,White House unveils new contraception opt-out - BBC News
451,"It Will Be ""All Out Hell"" Over 2 New GOP Anti-Abortion/Anti-Birth Control Bills"
452,"In Wisconsin, Silence Will Not Be Tolerated!"
453,Washington state weighs first-in-the-nation abortion insurance mandate | Fox News
454,NULL
455,Louisiana Democratic Party chief says ObamaCare critics motivated by race | Fox News
456,NULL
457,UPDATE on the worst case I've ever seen - ACTION BY YOU IS NEEDED - now w/Rachel Maddow
458,Sotomayor delays health law's birth control mandate
459,Anti-Abortion Amendments Attached By Republican Senators To Federal Budget Bill | HuffPost Latest News
460,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
461,"NBC News - Breaking News & Top Stories - Latest World, US & Local News | NBC News"
462,NULL
463,Arkansas approves strictest abortion ban in US - BBC News
464,NULL
465,Cuomo Women’s Rights Plan May Hinge on Abortion Proposal - The New York Times
466,NULL
467,N.C. House passes restrictive abortion bill - CNNPolitics
468,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
469,NULL
470,Dr. Ben Carson on ObamaCare's impact on America | On Air Videos | Fox News
471,Supreme Court refuses to block Texas abortion restrictions | Fox News
472,Contraceptives Stay Covered in Health Law - The New York Times
473,Abortion limits at state level return issue to the national stage - The Washington Post
474,NULL
475,NULL
476,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
477,Wanna know why Republicans fear Obamacare?
478,Justice Blocks Contraception Mandate on Insurance in Suit by Nuns - The New York Times
479,NULL
480,North Dakota introduces toughest abortion law in US - BBC News
481,Carl's Jr. CEO: Hard to see how ObamaCare could work | On Air Videos | Fox News
482,"HealthCare.gov meets deadline for fixes, Obama administration says - The Washington Post"
483,Texas abortion bill blocked by Senator Wendy Davis filibuster - BBC News
484,"Supreme Court's new term: campaign contributions, housing discrimination and prayer on tap | Fox News"
485,Erick Erickson tells liberals to go buy coat hangers after TX abortion bill passes.
486,"Mark Obenshain, Virginia Attorney General Candidate, Explains Controversial Miscarriage Bill | HuffPost Latest News"
487,"Ohio Sex Education Bill Threatens Teachers With $5,000 Fine | HuffPost Latest News"
488,NULL
489,Bloomberg’s latest anti-smoking push would require stores to hide cigarettes
490,"I signed up for health insurance, told my GOP Congressman about it, and made the local news"
491,NULL
492,NULL
493,NULL
494,Small biz owners fear Obama's pledge to raise minimum wage | On Air Videos | Fox News
495,NULL
496,ObamaCare: Your Tax Dollars Now Fund Abortion
497,Obama proposal would let religious groups opt-out of contraception mandate - CNNPolitics
498,"Bob McDonnell, Virginia Governor, Introduces Abortion Coverage Ban | HuffPost Latest News"
499,Sen. Cruz ends anti-Obamacare talkathon after more than 21 hours - The Washington Post
500,NULL
501,NULL
502,Abortion limits at state level return issue to the national stage - The Washington Post
503,NULL
504,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
505,NULL
506,Israeli security allowed to seek check of tourists' e-mail - CNN
507,NULL
508,Immigration reform: Obama sees deal within six months - BBC News
509,Israel 'to stop using white phosphorus shells' - BBC News
510,"Obama letter to Putin sends ‘positive signals,’ Russian official says - The Washington Post"
511,NULL
512,CAR communal violence spiralling out control - UN chief - BBC News
513,Five Welsh councils used undercover surveillance on staff - BBC News
514,Dominicans of Haitian Descent Cast Into Legal Limbo by Court - The New York Times
515,NULL
516,US whistleblower Edward Snowden 'will fight extradition' - BBC News
517,Concerns over new UN Human Rights Council members - BBC News
518,NULL
519,NULL
520,NULL
521,NULL
522,World News | NBC News
523,NULL
524,World News | NBC News
525,NULL
526,Grassley: Obama dodging questions on drone program | On Air Videos | Fox News
527,"President Obama, Stop Separating and Deporting Our Families | HuffPost Latest News"
528,World News | NBC News
529,Explaining India's new anti-rape laws - BBC News
530,"HuffPost - Breaking News, U.S. and World News | HuffPost"
531,World News | NBC News
532,NULL
533,Bulgarian and Romanian immigration - what are the figures? - BBC News
534,Shiv Sena knives: At the sharp end of Indian politics - BBC News
535,Stephen Fry calls for Olympics ban over Russia's anti-gay laws - BBC News
536,NULL
537,Obama Visits Prison Cell That Helped Shape Modern South Africa - The New York Times
538,US Attorney Bill Killian: Posting Something Mean About Muslims on Social Media Might Be a Criminal Action Under Federal Civil Rights Laws
539,Social media brings change in Gulf despite efforts at control - BBC News
540,Guardian Story on Israel and N.S.A. Is Not 'Surprising' Enough to Cover - The New York Times
541,NULL
542,Asian-American Group Demands Seth MacFarlane Reshoot 'Racist' Pilot
543,Syrian rebel fighters' civil war within a civil war - BBC News
544,Unbelievable:Spoon in underwear saving youths from forced marriage
545,Scornful Syria hails 'historic American retreat' as Obama hesitates
546,March by far right raises concern for Hungary's Roma - BBC News
547,NULL
548,Social media brings change in Gulf despite efforts at control - BBC News
549,"Without Irony, the U.S. Rebukes Turkey for Cracking Down on Protesters"
550,"Opinion: Kerry, Clinton and a glimmer of hope on Syria - CNN"
551,NULL
552,NULL
553, BBC News | UK POLITICS | Immigration bond scheme scrapped
554,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
555,"Say no to stoning adulterers, group urges Afghanistan"
556,"HuffPost - Breaking News, U.S. and World News | HuffPost"
557,Meet the Murderers Obama & Kerry Forced Israel to Release--and Their Victims
558,"CNN International - Breaking News, US News, World News and Video"
559,NULL
560,"HuffPost - Breaking News, U.S. and World News | HuffPost"
561,Child's pregnancy sets off Chile abortion debate
562,Military burn pit claims in limbo
563,Brazil asks US to explain internet surveillance - BBC News
564,NULL
565,NULL
566,U.S. Letter Says Leaker Won’t Face Death Penalty - The New York Times
567,Indonesian judge in hot water for suggesting rape victims enjoy it - CNN
568,NULL
569,Zimbabwe elections: Voters' roll concerns Sadc observer - BBC News
570,NULL
571,Ex-spy 'Falcon': U.S. likes Snowden in Russia - CNN
572,NULL
573,White House Tries to Prevent Judge From Ruling on Surveillance Efforts - The New York Times
574,Three Republicans back Democratic immigration bill in House
575,NULL
576,"U.S. doctors participated in torture of detainees, report claims"
577,Press Mum as Renditions Continue Under Obama
578,White House on force-feeding Gitmo prisoners: We don’t want them to die
579,Officials say Boston bombing suspect described terror plot before Miranda rights | Fox News
580,NULL
581,Drone court considered – CNN Security Clearance - CNN.com Blogs
582,NULL
583,Investigations: U.S. & World News Investigations | NBC News
584,New film looks at ‘War on Whistleblowers’ - The Washington Post
585,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
586,Investigations: U.S. & World News Investigations | NBC News
587,NULL
588,David Gregory is haunted by a New Age of Terror that exists in his imagination
589,"N.S.A. Gathers
Data on Social
Connections of
U.S. Citizens - The New York Times"
590,"Obama Defends NSA Programs, Says Congress Knew About Surveillance | HuffPost Latest News"
591,U.S. releases names of ‘indefinite detainees’ at Guantanamo – CNN Political Ticker - CNN.com Blogs
